field0	field1	field2	field3	field4				
	if (Scene.ResetGameCameraZoom) then							
		scene:ResetGameCameraZoom()						
	end							
	scene:WaitTimer(transitionTime)							
	scene:SetGameCameraTarget(nil, 0.0, 0.0)							
								
	if ( not isObserved ) then							
		return						
	end							
								
	local observedTeam = teams[observingPlayerIndex]							
	local otherTeam = teams[3 - observingPlayerIndex]							
								
	if ( camera == 1 ) then 							
		scene:SetCamera(battleCameraIDs.intro, 3.0, observedTeam.pad.actor, otherTeam.pad.actor)						
	elseif ( camera == 2 ) then 							
		scene:SetCamera(battleCameraIDs.idle, 3.0, observedTeam.pad.actor, arenaRing)						
	elseif ( camera == 3 ) then 							
		scene:SetCamera(battleCameraIDs.idle, 0.0, observedTeam.pad.actor, arenaRing)						
	elseif ( camera == 4 ) then							
		scene:SetCamera(0, 0.75, nil, nil)						
	end							
								
								
								
	local scaleCreateData = ActorCreateData:Default()							
	"scaleCreateData.name = \""scaleAxis\"""							
	"scaleCreateData.model = \""SPELLS\\AxisTestObject.m2\"""							
	scaleCreateData.scale = 2.0							
	scaleCreateData.interactible = false							
	axis = scene:SpawnActor(scaleCreateData)							
					createData.interactible = false			
					createData.floatingTooltip = false			
								
					local pos = BuildVector(player.teamFacing, -playerRadius, 0.0)			
					local transform = Transform:New(pos, player.teamFacing)			
					createData.transform = transform			
								
					placeHolderActor = scene:SpawnActor(createData)			
					placeHolderActors[playerID] = placeHolderActor			
				end				
								
				#NAAM?				
				player.playerDisplay = placeHolderActor				
			else					
				-- done with this placeholder, despawn it				
				local placeHolderActor = placeHolderActors[playerID]				
				if (placeHolderActor) then				
					placeHolderActor:Despawn()			
				end				
								
				placeHolderActors[playerID] = nil				
			end					
		end						
	end							
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
	#NAAM?							
	"local padCreateData = ActorCreateData:Default();"							
	"padCreateData.name = \""pad\"";"							
	"padCreateData.model = padModel;"							
	"padCreateData.transform = transform;"							
	"padCreateData.scale = padScale*battleScale;"							
								
	pad = scene:SpawnActor(padCreateData)							
	pad:Fade(padAlpha, 0.5)							
	"pad:SetInteractible(false);"							
								
	"return pad;"							
								
		local padPet = { 						
			"isPad = true;"					
			"actor = team.pad;"					
			"auras = {}; "					
			"slot = petIndex; "					
			"team = team.playerID; "					
		"};"						
		"team.pets = {};"						
		"team.pets[PetBattlePetID.Weather] = padPet;"						
		"team.pets[PetBattlePetID.Weather].actor = team.pad;"						
								
		"return;"						
	else							
		team.isWeather = false						
	end							
								
	#NAAM?							
	"local masterTransform = MASTER_SPOTS[playerID];"							
	"local masterLoc = masterTransform.position;"							
	local master							
								
	#NAAM?							
	if (team.npcCreatureID and team.npcCreatureID > 0 and team.npcDisplayID) then							
		"local npcCreateData = ActorCreateData:Default();"						
		"npcCreateData.creatureID = team.npcCreatureID;"						
		"npcCreateData.creatureDisplayID = team.npcDisplayID;"						
		"npcCreateData.interactible = false;"						
		"npcCreateData.transform = masterTransform;"						
		"npcCreateData.scale = battleScale;"						
								
		"master = scene:SpawnActor( npcCreateData );"						
								
		"master:SetFacingToAbs(Vector:New());"						
								
		#NAAM?						
								
		-- Darren\'s scripts required these two						
		"team.npcActor = master;"						
		"team.playerDisplay = master;"						
								
		#NAAM?						
		"team.master = master;"						
	end							
								
								
	#NAAM?							
	"team.pets = {};"							
								
	"mainPetLoc = homeTransform;"							
								
	"local backLineCount = 0;"							
								
	for id,v in pairs( team.petDescs ) do 							
		#NAAM?						
		if (id == PetBattlePetID.Pad) then						
			local padPet = { 					
				"isPad = true;"				
				"actor = team.pad;"				
				"auras = {}; "				
				"slot = petIndex; "				
				"team = team.playerID; "				
			"};"					
			"team.pets[id] =  padPet;"					
								
		#NAAM?						
		elseif ( id == team.activePet and initialBattleState.battleState ~= PetBattleState.WaitingPreBattle ) then 						
			"team.pets[id] = InitPet(team, id, mainPetLoc);"					
		else						
			"backLineCount = backLineCount + 1;"					
								
			#NAAM?					
			"local offset = FastLocalFacingCoordinates ( masterTransform.position, Vector:New(), BACKROW_PET_OFFSETS[backLineCount] );"					
			"team.pets[id] =  InitPet(team, id, Transform:New( offset, masterTransform.yaw ) );"					
		end						
	end							
								
								
	#NAAM?							
	#NAAM?							
	if ( initialBattleState.battleState ~= PetBattleState.WaitingPreBattle ) then 							
		for k,v in pairs(team.pets) do						
			if ( k ~= team.activePet ) then 					
				"v.actor:SetFacingToTarget(team.pets[team.activePet].actor, Vector:New());"				
			end					
		end						
	else							
		for k,v in pairs(team.pets) do						
			if ( k ~= team.activePet ) then 					
				"v.actor:SetFacingToAbs(Vector:New());"				
			end					
		end						
	end							
								
								
	"local petData = team.petDescs[petIndex];"							
	local petActor = scene:SpawnActor(ActorCreateData:New(petData.creatureID, transform, battleScale))							
								
	local pet = { 							
		"actor = petActor; "						
		"moveSpeed = 5; "						
		"auras = {}; "						
		"slot = petIndex; "						
		"playerID = team.playerID; "						
		"team = team.playerID;"						
		"creatureID = petData.creatureID;"						
		"teamFacing = team.teamFacing; -- Needed for Darren compat only"						
		"health = petData.health;"						
	"};"							
								
	#NAAM?							
	pet.currentRadius = backlineRadius							
	pet.currentOffset = 0							
								
	#NAAM?							
	SetXP(pet, petData.xp, petData.level, true)							
	SetHealth(pet, petData.health, true)							
								
	pet.status = petData.status							
								
	#NAAM?							
	"petActor:SetInteractible(false);"							
	"--petActor:SetHidden(true);"							
	"--petActor:Fade(0, 0);"							
	"	0	594
594	[1] Brazie\'s PetBattle - Init Player"""	"pet.standAnimKit = pet.actor:PlayAnimKit(petBattleAnimKits.Stand, false, Animations.None)


	-- apply initial auras
	for auraIndex, auraData in pairs(petData.auras or { }) do
		local auraVisual = petAbilityVisuals[auraData.auraVisualID]
		if (auraVisual) then
			ApplyAura(pet, auraData.instanceID, auraData.turnsRemaining, auraVisual.spellVisualID)
		end
	end

	return pet;
end"	593	0				
		"print(\""== Start Round Playback ==\"")"						
	end 							
								
	#NAAM?							
	for index, turn in pairs(topLevelTurnGroups) do							
		ProcessRoundTurnGroup( turn )						
	end							
								
	if (debugOn == true) then							
		"print(\""== End Round Playback ==\"")"						
		"print(\""  \"")"						
	end							
								
								
								
	if (debugOn == true) then							
		"print(\""- Processing Turn \"" .. turnGroup.firstEffect.turnInstanceID)"						
	end							
								
	#NAAM?							
	local turnVisual = nil							
	if (turnGroup.firstEffect.turnVisualID) then							
		turnVisual = petAbilityVisuals[turnGroup.firstEffect.turnVisualID]						
	end							
	local processed = false							
	if (turnVisual and turnVisual.scriptFunction) then							
		if ( turnVisual.scriptFunction( turnGroup ) ) then						
			processed = true					
		end						
	end							
								
	#NAAM?							
	if (processed ~= true) then							
		for index, effectGroup in pairs(turnGroup.effects) do						
			ProcessRoundEffectGroup(effectGroup)					
		end						
	end							
								
	if (debugOn == true) then							
		"print(\""-   Processing Effect \"" .. effectGroup.firstEffect.abilityEffectID)"						
	end							
								
	#NAAM?							
	local effectVisual = nil							
	if (effectGroup.firstEffect.abilityVisualID) then							
		effectVisual = petAbilityVisuals[effectGroup.firstEffect.abilityVisualID]						
	end							
	local processed = false							
	if (effectVisual and effectVisual.scriptFunction) then							
		if ( effectVisual.scriptFunction( effectGroup ) ) then						
			processed = true					
		end						
	end							
								
	#NAAM?							
	if (processed ~= true) then							
		for index, effectResult in pairs(effectGroup.results) do						
			StartEffectProcessing(effectResult)					
								
			ProcessRoundResult(effectResult)					
								
			SignalEffectProcessed()					
								
			if (effectResult.procGroup) then					
				ProcessRoundTurnGroup(effectResult.procGroup)				
			end					
		end						
	end							
								
								
	local eventType = event.eventType							
	local effectType = event.effectType							
								
	if not (eventType == PetBattleEvent.RoundEffect) then							
		return						
	end							
								
	if (debugOn == true) then							
		"print(\""-     Processing Result \"" .. event.instanceID)"						
	end							
								
	#NAAM?							
	if (effectType == PetBattleEffect.SetHealth) then							
		EffectSetHealth(event)						
	elseif (effectType == PetBattleEffect.AuraApply) then							
		EffectAuraApply(event)						
	elseif (effectType == PetBattleEffect.AuraCancel) then							
		EffectAuraChange(event, true)						
	elseif (effectType == PetBattleEffect.AuraChange) then							
		EffectAuraChange(event, false)						
	elseif (effectType == PetBattleEffect.PetSwap) then							
		EffectSwap(event.casterPlayerID, event.newFrontPet)						
	elseif (effectType == PetBattleEffect.StatusChange) then							
		EffectStatusChange(event)						
	end							
								
								
								
	local stackDepth = effect.stackDepth or 0							
	local turnInstanceID = effect.turnInstanceID or 0							
	local effectID = effect.abilityEffectID or 0							
	if (stackDepth > maxStackDepth) then							
		"print (\""WARNING: stack depth exceeded \"" .. """	0	643				
		table.insert(list, 						
			petStartPosition + Vector:New(x,y,u) 					
			");"					
	end							
	"table.insert(list, petFinalPoint);"							
	"table.remove(list, 1);"							
								
	"return list;"							
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
	for i=1,depth do							
		"prefix = prefix..\""    \"";"						
	end							
								
	"if ( type(table) == \""table\"" ) then "							
		for k,v in pairs(table) do						
			"local label;"					
			if ( lookup ) then 					
				"label = GetStateLabel(k);"				
			end					
								
			"if ( type(v) == \""table\"" ) then "					
				if ( label ) then 				
					"Print(prefix..\"" K: \""..label..\"" V: { \"");"			
				else				
					"Print(prefix..\"" K: \""..k..\"" V: { \"");"			
				end				
				"DEBUG_TABLE(v, depth+1, lookup); "				
				"Print(prefix..\""  }\"");"				
			else					
				if ( label ) then 				
					"Print(prefix..\"" K: \""..label..\"" V: \""..tostring(v));"			
				else				
					"Print(prefix..\"" K: \""..k..\"" V: \""..tostring(v));"			
				end				
			end					
		end						
	else							
		"Print(prefix..\"" \""..tostring(table) );"						
	end							
								
	for k,v in pairs (STATE_LOOKUP) do							
		if ( v == zub ) then						
			"return k;"					
		end						
	end							
								
	"return zub;"							
								
								
	local abilityVisual = petAbilityVisuals[abilityVisualID]							
	if (not abilityVisual) then							
		return						
	end							
								
	local player = nil							
	local pet = nil							
	if (observingPlayerIndex > 0) then							
		player = GetTeamByIndex(observingPlayerIndex)						
		if (player) then						
			pet = player.pets[player.activePet]					
		end						
	end							
								
	if (not pet) then							
		return						
	end							
								
	local casterPlayer = GetTeamByIndex(observingPlayerIndex)							
	local casterFrontPet = casterPlayer.pets[casterPlayer.activePet]							
	local opponentFrontPet = GetActivePetByIndex(3 - observingPlayerIndex)							
								
	ReturnOrResetCheck (casterFrontPet, opponentFrontPet)							
	"return;"							
								
	"local petLoc = returnPoint;"							
	"local petHome = HOME_LIST[pet.playerID].position;"							
	"local newDist = petLoc:Dist ( petHome );"							
								
	local returnDistance = pet.actor:GetPosition():Dist(petLoc)							
								
	if ( newDist > 1.75 * battleScale ) then 							
		"petLoc = HOME_LIST[pet.playerID].position;"						
		"returnDistance = petHome:Dist(pet.actor:GetPosition());"						
		"DebugPrint ( \""reset\""..pet.playerID );"						
	end							
								
	"local opponentHome = HOME_LIST[opponent.playerID].position;"							
								
	local opponentReturnDistance = opponent.actor:GetPosition():Dist(opponentHome)							
								
	if ( opponentReturnDistance > 1.75 * battleScale ) then 							
		"local distance = opponentHome:Dist(pet.actor:GetPosition());"						
		"DebugPrint ( \""opponent reset\""..opponent.playerID );"						
		"opponent.actor:MoveToAbs( opponentHome, distance/ ( opponent.moveSpeed*backwardSpeedMulti) );"						
								
	end							
								
	"--pet.actor:WaitMoveToAbs( pet.home, returnDistance/ ( pet.speed*backwardSpeedMulti) );"							
								
	"pet.actor:MoveToAbs( petLoc, returnDistance/ ( pet.moveSpeed*backwardSpeedMulti) );"							
	pet.actor:WaitMovementComplete()							
	opponent.actor:WaitMovementComplete()							
	pet.actor:SetFacingToAbs(opponent.actor:GetPosition())							
								
	opponent.actor:AddWorldText(opponent.actor, MissReasons.Dodged, false, false)							
								
	"PerformRelativeSlide( opponent, pet, front, left, up );"							
								
	"local front = howHard or 0.75;"							
	local left = 0							
	"local up = 0;"							
								
	"front = front * -1;"							
								
	--scene:WaitTimer(0.3)							
								
	"DebugPrint(\""knock\"")"							
	--opponent.actor:AddDamageText(nil, damage, false, false)							
	local opponentFinalPoint 	"= CalculateUnitFacingRelativeOffset(opponent, pet, front, left, up );"						
	local driftDistance = 3							
								
	"local time = duration or 0.3 --driftDistance/battleScale/opponent.moveSpeed;"							
								
	"--opponent.actor:MoveToAbs(opponentFinalPoint,  Vector:New() );"							
	opponent.actor:SetSnapToGround(false)							
	local kit = opponent.actor:PlayAnimKit(petBattleAnimKits.Dead, false, Animations.Stand)							
								
	opponent.actor:MoveSplineAbs( 							
			BuildKnockbackSpline(opponent.actor:GetPosition(), opponentFinalPoint, time), time )					
	opponent.actor:WaitMovementComplete()							
	opponent.actor:SetSnapToGround(true)							
	"kit:Stop();"							
								
								
	local moveTime = duration or 0.5							
	local anim = animation or Animations.JumpLoop							
								
	"local kit;"							
	if ( anim ) then 							
		#NAAM?						
		"kit = pet.actor:PlayAnimKit(petBattleAnimKits.Dead, false, anim );"						
	end							
								
	pet.actor:SetSnapToGround(false)							
	pet.actor:MoveSplineAbs( 							
			BuildKnockbackSpline(pet.actor:GetPosition(), dest, moveTime), moveTime )					
	pet.actor:WaitMovementComplete()							
	pet.actor:SetSnapToGround(true)							
								
	if ( kit ) then 							
		"kit:Stop();"						
	end							
								
								
	"local front = -math.random(15,15)*.025;"							
	"local left = math.random(-15,15)*.025;"							
	"local up = 0;"							
								
	--scene:WaitTimer(0.3)							
								
	"DebugPrint(\""tinyknock\"")"							
								
	opponent.actor:PlayOneShotSplitBodyAnim(Animations.CombatWound)							
								
	--opponent.actor:AddDamageText(nil, damage, false, false)							
								
								
	"PerformRelativeSlide( opponent, pet, front, left, up );"							
								
	"local front = -math.random(10,20)*.1;"							
	"local left = math.random(-10,10)/10;"							
	"local up = 0;"							
								
	scene:WaitTimer(0.3)							
								
	"DebugPrint(\""knock\"")"							
	--opponent.actor:AddDamageText(nil, damage, false, false)							
	"PerformRelativeSlide( opponent, pet, front, left, up );"							
								
	opponent.actor:SetSnapToGround(false)							
	--opponent.actor:AddDamageText(nil, damage, false, false)							
								
	opponent.actor:MoveSplineAbs(BuildKnockbackSpline(opponent.actor:GetPosition(), opponent.actor:GetPosition(), 0.5), 0.5)							
								
	opponent.actor:WaitMovementComplete()							
	opponent.actor:SetSnapToGround(true)							
								
		return result						
	else							
		"print(\""ERROR: Function Dispatched to \"" .. responsibleObjectID.. \"" failed.\"")"						
		"print(\""ERROR: \"" .. result)"						
	end							
	]]							
								
								
	"print(\""- Processing Turn \"" .. turn.firstEvent.turnInstanceID.. \"" Ability: \""..turn.firstEvent.abilityID)"							
								
	#NAAM?							
								
	"local effect = turn.firstEvent;"							
	#NAAM?							
	local casterPlayerID = effect.casterPlayerID							
	local casterPetSlot = effect.casterPetSlot							
								
	"local ROID = GETROIDFROMPLAYERIDANDSLOT (casterPlayerID, casterPetSlot);"							
								
	#NAAM?							
	"local processed = Dispatcher_HandleSpellVisualPackage(ROID, turn.firstEvent.turnVisualID, \""turn\"", turn)"							
								
	#NAAM?							
	if ( not processed ) then 							
		Dispatcher_DefaultTurnBehaviour(ROID, turn )						
	end							
								
								
								
	#NAAM?							
	local turnVisual = nil							
	if (turnVisualID) then							
		turnVisual = petAbilityVisuals[turnVisualID]						
	end							
	local processed = false							
	if (turnVisual and turnVisual.scriptFunction) then							
		Dispatcher_AddCommandToQueue( ROID, turnVisual.scriptFunction, ...)						
		"processed = true;"						
	end							
								
	return processed							
	if (pet.currentHealth <= 0) and (not pet.dead) then							
		#NAAM?						
		local lookAtPos = BuildVector( (pet.teamFacing or 0.0), idleRadius*1000, 0)						
		pet.actor:SetFacingToAbs(lookAtPos)						
		RemoveAllAuraVisuals(pet)						
								
		#NAAM?						
		local deathKitID = 62						
		if (fullUpdate == true) then						
			#NAAM?					
			pet.deathAnimKit = pet.actor:PlayAnimKit(petBattleAnimKits.Dead, false, Animations.None)					
			"pet.dead = true;"					
		else						
			#NAAM?					
			pet.deathAnimKit = pet.actor:PlayAnimKit(petBattleAnimKits.Death, false, Animations.None)					
			scene:WaitTimer(1.5)					
			"pet.dead = true;"					
		end						
								
		"return \""died\"""						
	elseif (pet.currentHealth <= 0) and (pet.dead) then							
		"return \""dead\"""						
	elseif (pet.currentHealth > 0) and (pet.dead) then							
		#NAAM?						
		pet.deathAnimKit:Stop()						
		pet.deathAnimKit = nil						
		"pet.dead = nil;"						
								
		local lookAtPos = BuildVector(pet.teamFacing, idleRadius, 0)						
		#NAAM?						
		pet.actor:Fade(1, 0.5)						
		#NAAM?						
								
		"return \""respawn\"""						
	end							
			"failureEffect(targetPet, casterCastingPet, result);"					
		end						
	else							
		#NAAM?						
		"if ( type(successEffect) == \""function\"" ) then"						
			"successEffect (targetPet, casterCastingPet, result);"					
		end						
								
		#NAAM?						
		"func(targetPet, casterCastingPet, ...);"						
								
		#NAAM?						
		SignalEffectProcessed()						
								
	end							
								
	#NAAM?							
	if (not dontWait) then							
		casterCastingPet.actor:WaitCastingComplete(true)						
	end							
		"local castingPetSlotName = \""Unknown\"";"						
								
								
		for k,v in pairs(PetBattlePlayerID) do 						
			if ( v == result.casterPlayerID ) then					
				"castingTeamName = k;"				
			end					
		end						
		for k,v in pairs(PetBattlePetID) do 						
			if ( v == result.casterPetSlot ) then					
				"castingPetSlotName = k;"				
			end					
		end						
								
		"print(\""Requesting standard data for \"",castingTeamName,\"" slot \"",castingPetSlotName);"						
	end							
								
	#NAAM?							
	if  ( not result.target ) then							
		return casterCastingPet, nil						
	end							
								
	if ( effectDebug == true ) then 							
		"local targetTeamName = \""Unknown\"";"						
		for k,v in pairs(PetBattlePlayerID) do 						
			if ( v == result.target.playerID ) then					
				"targetTeamName = k;"				
			end					
		end						
		"local targetPetSlotName = \""Unknown\"";"						
		for k,v in pairs(PetBattlePetID) do 						
			if ( v == result.target.petSlot ) then					
				"targetPetSlotName = k;"				
			end					
		end						
								
		"print(\""Requesting standard target data for \"",targetTeamName,\"" slot \"",targetPetSlotName);"						
	end							
								
	local targetData = result.target							
	"local targetPlayerID = targetData.playerID;"							
								
	if ( targetPlayerID > 2 ) then							
		return casterCastingPet, nil						
	end							
								
	local targetPlayer = GetTeamByIndex(targetPlayerID)							
	if ( not targetPlayer ) then 							
		"print(\""ERROR: Invalid targetPlayerID (\"",targetPlayerID,\"")\"");"						
		return casterCastingPet, nil						
	end							
	local targetPet = targetPlayer.pets[targetData.petSlot]							
								
	return casterCastingPet, targetPet							
		"local targetMaster = GETROIDFROMPLAYERID(targetPet.playerID) + ROID_TYPE_PLAYER_MASTER;"						
		"local casterMaster = GETROIDFROMPLAYERID(casterPlayerID) + ROID_TYPE_PLAYER_MASTER;"						
								
		Dispatcher_AddCommandToQueue( targetMaster, Dispatcher_OwnerEmote, Animations.EmoteCry )						
		Dispatcher_AddCommandToQueue( casterMaster, Dispatcher_OwnerEmote, Animations.EmoteCheer )						
	"elseif ( result == \""respawn\"" ) then"							
		"local casterMaster = GETROIDFROMPLAYERID(casterPlayerID) + ROID_TYPE_PLAYER_MASTER;"						
		Dispatcher_AddCommandToQueue( casterMaster, Dispatcher_OwnerEmote, Animations.EmoteCheer )						
	end							
								
		return						
	end							
								
	if (cancel == true) or (turnsRemaining < 1) then							
		RemoveAura(targetPet, auraInstanceID)						
	else							
		aura.turnsRemaining = turnsRemaining						
	end							
	if ( not spellVisualID and not turnVisualSpellID) then 							
		"print( \""No Spell Visual ID provided to successEffect_visual\"" );"						
		"return;"						
	elseif ( not spellVisualID and turnVisualSpellID ) then 							
		"useID = turnVisualSpellID;"						
	end							
	targetPet.actor:PlaySpellImpactVisual(useID)							
								
	-- If its not a proc, knock!							
	local team = GetTeamByIndex(casterPet.playerID)							
	if ( casterPet.slot == team.activePet ) then 							
		PerformTinySlide( targetPet, casterPet ) 						
		--PerformHardKnockback( targetPet, casterPet ) 						
	end							
								
	PerformDodge( targetPet, casterPet ) 							
	"ApplyAura(targetPet, auraInstanceID, turnsRemaining, auraVisualID);"							
								
								
	"-- Only handle \""effect\"" objects"							
	"if ( isEffect ~= \""effect\"" ) then"							
		"print (\""ERROR: Object of type \""..isEffect..\"" passed to DefaultDoEffect\"");"						
		"return SignalEffectProcessed();"						
	end							
								
	-- Check for player ID in the correct bounds:							
	if ( effect.results[1].target.playerID > 2 ) then							
		"print (\""ERROR: Player ID is out of range! \""..effect.results[1].target.playerID)"						
		SignalEffectProcessed()						
		"return;"						
	end							
								
	--PerformMove(pet, opponent, range)							
	local casterCastingPet, targetPet, abilityVisualID = GetStandardData(effect.results[1])							
								
	if ( not skipCast ) then 							
		preEffect_visual(targetPet, casterCastingPet, effect.results[1])						
	end							
								
	for index, result in pairs(effect.results) do							
		StartEffectProcessing(result)						
								
		"local handlerTable = GetDefaultHandlerTable(result, index);"						
								
		#NAAM?						
		if ( handlerOverrides ) then						
			for eventType,overrides in pairs(handlerOverrides) do 					
								
				for k,v in pairs(overrides) do 				
					if ( not handlerTable[eventType] ) then			
						"handlerTable[eventType] = {};"		
					end			
					"handlerTable[eventType][k] = v;"			
				end				
			end					
		end						
								
		local eventType = result.eventType						
		local effectType = result.effectType						
								
		if not (eventType == PetBattleEvent.RoundEffect) then						
			return					
		end						
								
		if (debugOn == true) then						
			"local effectName = \""Unknown\"";"					
								
			for k,v in pairs(PetBattleEffect) do 					
				if ( v == effectType ) then				
					"effectName = k;"			
				end				
			end					
								
			"local eventTypeName = \""Unknown\"";"					
			for k,v in pairs(PetBattleEvent) do 					
				if ( v == eventType ) then				
					"eventTypeName = k;"			
				end				
			end					
								
			"DebugPrint(\""-     Processing Result \"" .. result.instanceID..\"" effectType: \""..effectName..\"" eventType: \""..eventTypeName)"					
		end						
								
								
		Dispatcher_DoFunction(result, 						
			handlerTable[effectType].dontWait, 					
			handlerTable[effectType].successEffect, 					
			handlerTable[effectType].failureEffect, 					
			handlerTable[effectType].func, 					
			unpack( handlerTable[effectType].args) )					
								
								
		SignalEffectProcessed()						
								
		if (result.procGroup) then						
			ProcessRoundTurnGroup(result.procGroup)					
		end						
	end							
								
	"-- Only handle \""effect\"" objects"							
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
								
	#NAAM?							
	if ( turn.firstEvent.effectType == PetBattleEffect.PetSwap ) then							
		"print(\""DEBUG: Swap occuring. No combat movement required.\"");"						
								
		#NAAM?						
		"swap_func(nil, nil, turn.firstEvent.casterPlayerID, turn.firstEvent.newFrontPet );"						
	else							
		local abilityVisualID = turn.firstEvent.abilityVisualID						
		local abilityVisual = petAbilityVisuals[abilityVisualID]						
								
		if ( not abilityVisual ) then 						
			"Print(\""ERROR: No ability visual!\"")"					
			#NAAM?					
			"Dispatcher_AddCommandToQueue(ROID, PerformMove, PetBattleRange.InPlace ); "					
		else						
			#NAAM?					
			"Dispatcher_AddCommandToQueue(ROID, PerformMove, abilityVisual.range ); "					
		end						
								
		#NAAM?						
		for index, effect in pairs(turn.effects) do						
			if (debugOn == true) then					
				"local effectName = \""Unknown\"";"				
								
				for k,v in pairs(PetBattleEffect) do 				
					if ( v == effect.firstEvent.effectType ) then			
						"effectName = k;"		
					end			
				end				
								
				"DebugPrint(\""-   Processing Effect \"" .. effect.firstEvent.abilityEffectID..\"" effectType: \""..effectName)"				
			end					
								
			#NAAM?					
			"local processed = Dispatcher_HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effectGroup)"					
								
			#NAAM?					
			if (processed ~= true) then					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect ); "				
				#NAAM?				
			end					
		end						
								
		#NAAM?						
		"--Dispatcher_AddCommandToQueue(casterPlayerID, casterPetSlot, Dispatcher_PerformTurnEffects, turn ); "						
								
								
		#NAAM?						
		"Dispatcher_AddCommandToQueue(ROID, Dispatcher_PerformPostAttackCleanup );"						
	end							
	scene:WaitTimer(0)							
	"local player = ROIDTOPLAYER( ROID );"							
								
	if ( player ) then							
		"local slot = nil;"						
								
		if ( bitand(ROID, 0x0007) == ROID_TYPE_PLAYER_PET_SLOT_1 ) then						
			slot = 1					
		elseif ( bitand(ROID, 0x0007) == ROID_TYPE_PLAYER_PET_SLOT_2 ) then						
			slot = 2					
		elseif ( bitand(ROID, 0x0007) == ROID_TYPE_PLAYER_PET_SLOT_3 ) then						
			slot = 3					
		end						
								
		if ( slot ) then						
			return player.pets[slot]					
		end						
	end							
								
	"return nil;"							
								
	"local roid = 0;"							
	if ( playerID == 0 ) then							
		roid = roid + ROID_TYPE_WEATHER						
	elseif ( playerID == 1 ) then							
		roid = roid + ROID_TYPE_PLAYER_1						
	elseif ( playerID == 2 ) then							
		roid = roid + ROID_TYPE_PLAYER_2						
	end							
	"return roid;"							
								
								
	"local roid = GETROIDFROMPLAYERID( playerID );"							
								
	if ( slot == 1 ) then							
		roid = roid + ROID_TYPE_PLAYER_PET_SLOT_1						
	elseif ( slot == 2 ) then							
		roid = roid + ROID_TYPE_PLAYER_PET_SLOT_2						
	elseif ( slot == 3 ) then							
		roid = roid + ROID_TYPE_PLAYER_PET_SLOT_3						
	end							
								
	return roid							
	end							
								
	local turnKey = turnInstanceID*maxStackDepth + stackDepth							
	local effectKey = effectID*maxTurnInstanceIDs*maxStackDepth + turnKey							
	return turnKey, effectKey							
								
								
								
	#NAAM?							
	local turnVisual = nil							
	if (turnVisualID) then							
		turnVisual = petAbilityVisuals[turnVisualID]						
	end							
	local processed = false							
	if (turnVisual and turnVisual.scriptFunction) then							
		Dispatcher_AddCommandToQueue(casterPlayerID, casterPetSlot, turnVisual.scriptFunction, ...)						
		"processed = true;"						
	end							
								
	return processed							
								
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
								
								
	local abilityVisualID = turn.firstEvent.abilityVisualID							
	local abilityVisual = petAbilityVisuals[abilityVisualID]							
	if ( abilityVisual ) then 							
		#NAAM?						
		"Dispatcher_AddCommandToQueue(ROID, PerformMove, abilityVisual.range ); "						
	end							
								
								
	#NAAM?							
	local points = {							
	}							
								
	"local numPoints = #turn.effects;"							
								
	local offset=270							
	"local step= 720/numPoints;"							
								
	for i=offset+step,offset+720,step do 							
		local sin = math.sin(i/180*math.pi)						
		local cos = math.cos(i/180*math.pi)						
		"table.insert(points, Vector:New(sin, cos, 0));"						
								
	end							
								
	"local pet = ROIDTOPET(ROID);"							
	local opponent = GetActivePetByIndex(3 - pet.playerID)							
								
	pet.actor:SetFacingToTarget(opponent.actor, Vector:New())							
								
	"local originalOpponentLoc = VectorCopy(opponent.actor:GetPosition());"							
	"local originalPetLoc = VectorCopy(pet.actor:GetPosition());"							
								
	"local i=0;"							
								
	#NAAM?							
	for index, effect in pairs(turn.effects) do							
		if (debugOn == true) then						
			"local effectName = \""Unknown\"";"					
								
			for k,v in pairs(PetBattleEffect) do 					
				if ( v == effect.firstEvent.effectType ) then				
					"effectName = k;"			
				end				
			end					
								
			"DebugPrint(\""-   Processing Effect \"" .. effect.firstEvent.abilityEffectID..\"" effectType: \""..effectName)"					
		end						
								
		#NAAM?						
		"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effectGroup)"						
								
		#NAAM?						
		if (processed ~= true) then						
			#NAAM?					
			"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect ); "					
			#NAAM?					
		end						
								
								
		-- ## Unique Stuff Start 						
		"i = i + 1;"						
		"local v = points[i];"						
		if ( v ) then 						
			"local newDrift = FastLocalFacingCoordinates(originalOpponentLoc, originalPetLoc , v * -battleScale );"					
								
